filter_file,telescope,camera,filter,surveys,description,wavelength_region
galex_nuv.xml,The Galaxy Evolution Exporer (GALEX),GALEX,nuv,,,UV
gpc1_g.xml,The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS),The Pan-STARRS Gigapixel Camera,g,,,opt
gpc1_i.xml,The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS),The Pan-STARRS Gigapixel Camera,i,,,opt
gpc1_r.xml,The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS),The Pan-STARRS Gigapixel Camera,r,,,opt
gpc1_y.xml,The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS),The Pan-STARRS Gigapixel Camera,y,,,opt
gpc1_z.xml,The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS),The Pan-STARRS Gigapixel Camera,z,,,opt
hawki_k.xml,The Very Large Telescope (VLT) at Paranal,The High Acuity Wide field K-band Imager (HAWK-I),K,,,IR
irac_i1.xml,The Spitzer Space Telescope,The Infrared Array Camera (IRAC),i1,,,IR
irac_i2.xml,The Spitzer Space Telescope,The Infrared Array Camera (IRAC),i2,,,IR
irac_i3.xml,The Spitzer Space Telescope,The Infrared Array Camera (IRAC),i3,,,IR
irac_i4.xml,The Spitzer Space Telescope,The Infrared Array Camera (IRAC),i4,,,IR
isaac_k.xml,The Very Large Telescope (VLT) at Paranal,The Infrared Spectrometer And Array Camera (ISAAC),Ks,,,IR
megacam_g.xml,Canada France Hawaii Telescope (CFHT),MegaPrime/MegaCam,g,,,opt
megacam_i.xml,Canada France Hawaii Telescope (CFHT),MegaPrime/MegaCam,i,,,opt
megacam_r.xml,Canada France Hawaii Telescope (CFHT),MegaPrime/MegaCam,r,,,opt
megacam_u.xml,Canada France Hawaii Telescope (CFHT),MegaPrime/MegaCam,u,,,opt
megacam_y.xml,Canada France Hawaii Telescope (CFHT),MegaPrime/MegaCam,y,,,opt
